revision;totalFiles;nonJavaFiles;nonJavaEqualFiles;nonJavaMergedFiles;nonJavaFilesConfs;javaFiles;javaEqualFiles;javaMergedFiles;badParsedFiles;javaFilesConfsSS;javaFilesConfsUN;javaEqualConfs;mergeTime
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_8b1c57f_c66053b/rev_8b1c57f-c66053b.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_d492e32_04aa297/rev_d492e32-04aa297.revisions;752;580;0;580;0;172;172;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_aa164a0_7f0c347/rev_aa164a0-7f0c347.revisions;126;106;0;106;0;20;19;1;0;0;3;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_e8efe3e_6005a12/rev_e8efe3e-6005a12.revisions;752;580;0;580;0;172;172;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_090cb83_a3b55e5/rev_090cb83-a3b55e5.revisions;128;106;0;106;0;22;19;0;3;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_4f3d123_0f668cb/rev_4f3d123-0f668cb.revisions;752;580;0;580;0;172;172;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_090cb83_9872458/rev_090cb83-9872458.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_8adc885_500ef39/rev_8adc885-500ef39.revisions;753;581;0;581;0;172;172;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_0d95545_eb3302f/rev_0d95545-eb3302f.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5825ec9_0dabae3/rev_5825ec9-0dabae3.revisions;753;581;0;581;0;172;172;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_4807230_60f9891/rev_4807230-60f9891.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_de1c378_310f64d/rev_de1c378-310f64d.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5d85857_3df1e97/rev_5d85857-3df1e97.revisions;749;602;0;602;0;147;147;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_7c36335_e7f15cf/rev_7c36335-e7f15cf.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_2313b14_64411c0/rev_2313b14-64411c0.revisions;749;602;0;602;0;147;147;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_391e7d0_0a90eb8/rev_391e7d0-0a90eb8.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_fdaf89e_2c2f888/rev_fdaf89e-2c2f888.revisions;749;602;0;602;0;147;147;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_391e7d0_945b3d6/rev_391e7d0-945b3d6.revisions;126;106;0;106;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_302d060_dccc4b6/rev_302d060-dccc4b6.revisions;749;602;0;602;0;147;147;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_0280247_042f3ff/rev_0280247-042f3ff.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_d298db1_5ca8acd/rev_d298db1-5ca8acd.revisions;749;602;0;602;0;147;147;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_0280247_e443887/rev_0280247-e443887.revisions;127;107;0;107;0;20;20;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_5f46e61_e43f063/rev_5f46e61-e43f063.revisions;749;602;0;602;0;147;147;0;0;0;0;0;0
/home/paper219/Desktop/analysis/demonstration//projects/BottomBar/revisions/rev_5037560_3a21a54/rev_5037560-3a21a54.revisions;128;107;0;107;0;21;19;1;1;0;1;0;0
/home/paper219/Desktop/analysis/demonstration//projects/Swagger-core/revisions/rev_2138cb7_add7da5/rev_2138cb7-add7da5.revisions;749;602;0;602;0;147;147;0;0;0;0;0;0
